    PID TTY          TIME CMD
   1462 ?        00:00:00 gsd-sound
   1463 ?        00:00:00 gsd-wacom
   1474 ?        00:00:00 gsd-disk-utilit
   1522 ?        00:00:00 goa-daemon
   1525 ?        00:00:00 evolution-alarm
   1581 ?        00:00:00 gvfs-udisks2-vo
   1601 ?        00:00:00 ibus-dconf
   1604 ?        00:00:00 gsd-printer
   1606 ?        00:00:04 ibus-extension-
   1617 ?        00:00:00 ibus-portal
   1645 ?        00:00:00 evolution-calen
   1650 ?        00:00:00 goa-identity-se
   1655 ?        00:00:00 gvfs-goa-volume
   1671 ?        00:00:00 gvfs-gphoto2-vo
   1676 ?        00:00:00 snapd-desktop-i
   1683 ?        00:00:00 gvfs-afc-volume
   1696 ?        00:00:00 gvfs-mtp-volume
   1709 ?        00:00:00 evolution-addre
   1792 ?        00:00:00 snapd-desktop-i
   1796 ?        00:00:00 ibus-engine-sim
   1797 ?        00:00:00 xdg-desktop-por
   1822 ?        00:00:00 dconf-service
   1841 ?        00:00:00 gvfsd-trash
   1886 ?        00:00:00 tracker-miner-f
   1887 ?        00:00:00 xdg-desktop-por
   1912 ?        00:00:00 gjs
   1916 ?        00:00:00 gsd-xsettings
   1964 ?        00:00:00 ibus-x11
   1971 ?        00:00:00 xdg-desktop-por
   1977 ?        00:00:00 mutter-x11-fram
   1997 ?        00:00:00 gvfsd-metadata
   2071 ?        00:00:00 update-notifier
   2169 ?        00:00:00 kworker/3:0-cgroup_destroy
   2219 ?        00:00:00 gjs
   2274 ?        00:00:01 gnome-terminal-
   2301 pts/0    00:00:00 bash
   2314 ?        00:00:00 kworker/2:0-mm_percpu_wq
   2324 ?        00:00:00 kworker/u8:3-events_power_efficient
   2364 ?        00:00:00 kworker/3:2
   2386 pts/0    00:00:00 ps
